fecha,location,vacunados
2021-08-23,Belgium,7925291.0
2021-08-24,Belgium,7958223.0
2021-08-25,Belgium,7992791.0
2021-08-26,Belgium,8032087.0
2021-08-27,Belgium,8064992.0
2021-08-28,Belgium,8092897.0
2021-08-29,Belgium,8094186.0
2021-08-30,Belgium,8120613.0
2021-08-31,Belgium,8150120.0
2021-09-01,Belgium,8165654.0
2021-09-02,Belgium,8177168.0
2021-09-03,Belgium,8194979.0
2021-09-04,Belgium,8215412.0
2021-09-05,Belgium,8215777.0
2021-09-06,Belgium,8219656.0
2021-09-07,Belgium,8226132.0
2021-09-08,Belgium,8242850.0
2021-09-09,Belgium,8250577.0
2021-09-10,Belgium,8261848.0
2021-09-11,Belgium,8276360.0
2021-09-12,Belgium,8277116.0
2021-09-13,Belgium,8283057.0
2021-09-14,Belgium,8286234.0
2021-09-15,Belgium,8297137.0
2021-09-16,Belgium,8306123.0
2021-09-17,Belgium,8316368.0
2021-09-18,Belgium,8330491.0
2021-09-19,Belgium,8330655.0
2021-09-20,Belgium,8334090.0
2021-09-21,Belgium,8340536.0
2021-09-22,Belgium,8351504.0
2021-09-23,Belgium,8358521.0
2021-09-24,Belgium,8365946.0
2021-09-25,Belgium,8380826.0
2021-09-26,Belgium,8381412.0
2021-09-27,Belgium,8384942.0
2020-12-14,Canada,8384942.0
2020-12-15,Canada,8384942.0
2020-12-16,Canada,8384942.0
2020-12-17,Canada,8384942.0
2020-12-18,Canada,8384942.0
2020-12-19,Canada,8384942.0
2020-12-20,Canada,8384942.0
2020-12-21,Canada,8384942.0
2020-12-22,Canada,8384942.0
2020-12-23,Canada,8384942.0
2020-12-24,Canada,8384942.0
2020-12-25,Canada,8384942.0
2020-12-26,Canada,8384942.0
2020-12-27,Canada,8384942.0
2020-12-28,Canada,8384942.0
2020-12-29,Canada,8384942.0
2020-12-30,Canada,8384942.0
2020-12-31,Canada,8384942.0
2021-01-01,Canada,8384942.0
2021-01-02,Canada,8384942.0
2021-01-03,Canada,8384942.0
2021-01-04,Canada,8384942.0
2021-01-05,Canada,8384942.0
2021-01-06,Canada,430.0
2021-01-07,Canada,1087.0
2021-01-08,Canada,2027.0
2021-01-09,Canada,2940.0
2021-01-10,Canada,2942.0
2021-01-11,Canada,2942.0
2021-01-12,Canada,4177.0
2021-01-13,Canada,13085.0
2021-01-14,Canada,15646.0
2021-01-15,Canada,19148.0
2021-01-16,Canada,20268.0
2021-01-17,Canada,21458.0
2021-01-18,Canada,22188.0
2021-01-19,Canada,24385.0
2021-01-20,Canada,37048.0
2021-01-21,Canada,43252.0
2021-01-22,Canada,49491.0
2021-01-23,Canada,53804.0
2021-01-24,Canada,56441.0
2021-01-25,Canada,64653.0
2021-01-26,Canada,72811.0
2021-01-27,Canada,82196.0
2021-01-28,Canada,91944.0
2021-01-29,Canada,101175.0
2021-01-30,Canada,109501.0
2021-01-31,Canada,111890.0
2021-02-01,Canada,116317.0
2021-02-02,Canada,121087.0
2021-02-03,Canada,130133.0
2021-02-04,Canada,142437.0
2021-02-05,Canada,155503.0
2021-02-06,Canada,168987.0
2021-02-07,Canada,176584.0
2021-02-08,Canada,187434.0
2021-02-09,Canada,204059.0
2021-02-10,Canada,223991.0
2021-02-11,Canada,244100.0
2021-02-12,Canada,266826.0
2021-02-13,Canada,287470.0
2021-02-14,Canada,301732.0
2021-02-15,Canada,309982.0
2021-02-16,Canada,327770.0
2021-02-17,Canada,343423.0
2021-02-18,Canada,363132.0
2021-02-19,Canada,387694.0
2021-02-20,Canada,404466.0
2021-02-21,Canada,417478.0
2021-02-22,Canada,449546.0
2021-02-23,Canada,467772.0
2021-02-24,Canada,482047.0
2021-02-25,Canada,498860.0
2021-02-26,Canada,511975.0
2021-02-27,Canada,519782.0
2021-02-28,Canada,525025.0
2021-03-01,Canada,538239.0
2021-03-02,Canada,548204.0
2021-03-03,Canada,554427.0
2021-03-04,Canada,558882.0
2021-03-05,Canada,561971.0
2021-03-06,Canada,564217.0
2021-03-07,Canada,565719.0
2021-03-08,Canada,575602.0
2021-03-09,Canada,579032.0
2021-03-10,Canada,583483.0
2021-03-11,Canada,587651.0
2021-03-12,Canada,590674.0
2021-03-13,Canada,593331.0
2021-03-14,Canada,595333.0
2021-03-15,Canada,600918.0
2021-03-16,Canada,604921.0
2021-03-17,Canada,610071.0
2021-03-18,Canada,615681.0
2021-03-19,Canada,621601.0
2021-03-20,Canada,626214.0
2021-03-21,Canada,629956.0
2021-03-22,Canada,633512.0
2021-03-23,Canada,637427.0
2021-03-24,Canada,642371.0
2021-03-25,Canada,648991.0
2021-03-26,Canada,657291.0
2021-03-27,Canada,662655.0
2021-03-28,Canada,666633.0
2021-03-29,Canada,672214.0
2021-03-30,Canada,679469.0
2021-03-31,Canada,685974.0
2021-04-01,Canada,696128.0
2021-04-02,Canada,700177.0
2021-04-03,Canada,704399.0
2021-04-04,Canada,704403.0
2021-04-05,Canada,718462.0
2021-04-06,Canada,730958.0
2021-04-07,Canada,746667.0
2021-04-08,Canada,763727.0
2021-04-09,Canada,780400.0
2021-04-10,Canada,794186.0
2021-04-11,Canada,797265.0
2021-04-12,Canada,815659.0
2021-04-13,Canada,829067.0
2021-04-14,Canada,840602.0
2021-04-15,Canada,854586.0
2021-04-16,Canada,884012.0
2021-04-17,Canada,908060.0
2021-04-18,Canada,913214.0
2021-04-19,Canada,933484.0
2021-04-20,Canada,944964.0
2021-04-21,Canada,957945.0
2021-04-22,Canada,974515.0
2021-04-23,Canada,993480.0
2021-04-24,Canada,1008649.0
2021-04-25,Canada,1018288.0
2021-04-26,Canada,1027150.0
2021-04-27,Canada,1046076.0
2021-04-28,Canada,1061436.0
2021-04-29,Canada,1082053.0
2021-04-30,Canada,1090114.0
2021-05-01,Canada,1117830.0
2021-05-02,Canada,1128778.0
2021-05-03,Canada,1136877.0
2021-05-04,Canada,1156128.0
2021-05-05,Canada,1173962.0
2021-05-06,Canada,1196166.0
2021-05-07,Canada,1221019.0
2021-05-08,Canada,1240997.0
2021-05-09,Canada,1248931.0
2021-05-10,Canada,1267125.0
2021-05-11,Canada,1285391.0
2021-05-12,Canada,1308290.0
2021-05-13,Canada,1336187.0
2021-05-14,Canada,1370379.0
2021-05-15,Canada,1395516.0
2021-05-16,Canada,1410963.0
2021-05-17,Canada,1424641.0
2021-05-18,Canada,1450745.0
2021-05-19,Canada,1486018.0
2021-05-20,Canada,1529541.0
2021-05-21,Canada,1581598.0
2021-05-22,Canada,1629593.0
2021-05-23,Canada,1653627.0
2021-05-24,Canada,1672543.0
2021-05-25,Canada,1695594.0
2021-05-26,Canada,1743718.0
2021-05-27,Canada,1808107.0
2021-05-28,Canada,1878638.0
2021-05-29,Canada,1949139.0
2021-05-30,Canada,2013519.0
2021-05-31,Canada,2078573.0
2021-06-01,Canada,2161527.0
2021-06-02,Canada,2263786.0
2021-06-03,Canada,2402935.0
2021-06-04,Canada,2571814.0
2021-06-05,Canada,2714936.0
2021-06-06,Canada,2842203.0
2021-06-07,Canada,2995917.0
2021-06-08,Canada,3184937.0
2021-06-09,Canada,3421995.0
2021-06-10,Canada,3718629.0
2021-06-11,Canada,4045324.0
2021-06-12,Canada,4332854.0
2021-06-13,Canada,4594453.0
2021-06-14,Canada,4911015.0
2021-06-15,Canada,5240302.0
2021-06-16,Canada,5603679.0
2021-06-17,Canada,6005085.0
2021-06-18,Canada,6440424.0
2021-06-19,Canada,6792499.0
2021-06-20,Canada,7084165.0
2021-06-21,Canada,7411966.0
2021-06-22,Canada,7819125.0
2021-06-23,Canada,8274009.0
2021-06-24,Canada,8794464.0
2021-06-25,Canada,9254970.0
2021-06-26,Canada,9652507.0
2021-06-27,Canada,9970084.0
2021-06-28,Canada,10589254.0
2021-06-29,Canada,11109783.0
2021-06-30,Canada,11662058.0
2021-07-01,Canada,12064232.0
2021-07-02,Canada,12595940.0
2021-07-03,Canada,12925620.0
2021-07-04,Canada,13216420.0
2021-07-05,Canada,13760360.0
2021-07-06,Canada,14199217.0
2021-07-07,Canada,14659128.0
2021-07-08,Canada,15219854.0
2021-07-09,Canada,15713492.0
2021-07-10,Canada,16045371.0
2021-07-11,Canada,16302895.0
2021-07-12,Canada,16751773.0
2021-07-13,Canada,17128728.0
2021-07-14,Canada,17510007.0
2021-07-15,Canada,17901260.0
2021-07-16,Canada,18286671.0
2021-07-17,Canada,18556079.0
2021-07-18,Canada,18756816.0
2021-07-19,Canada,19137995.0
2021-07-20,Canada,19437391.0
2021-07-21,Canada,19783169.0
2021-07-22,Canada,20122241.0
2021-07-23,Canada,20435722.0
2021-07-24,Canada,20654519.0
2021-07-25,Canada,20827849.0
2021-07-26,Canada,21174524.0
2021-07-27,Canada,21415908.0
2021-07-28,Canada,21651918.0
